"API","operator","well","section","twn","rng","reservoir","field","firstProd","cumOil","cumGas","fluid","proppant","TVD","perf","surfLat","surfLong","bhLat","bhLong","ppf","gor"
"3301301494","EOG","VANVILLE  6-25H","25","159","91","Middle Bakken","THOMPSON LAKE",2015-05-01,9316,8777,NA,NA,8648.68,10908,48.561428771,-102.365474029,48.588917634,-102.378035808,NA,0.942142550450837
"3301301498","EOG","KANDIYOHI  5-3031H","30","159","90","Middle Bakken","CLEAR WATER",2015-05-01,8840,9010,NA,NA,8769.62,10375,48.57287676,-102.360886481,48.546933149,-102.352017756,NA,1.01923076923077
"3301301502","LIME ROCK III-A","EASY STREET  3-4H","3","160","91","Middle Bakken","DIMOND",2015-05-01,4822,3960,NA,NA,8230.49,6737,48.719627328,-102.427828966,48.707025471,-102.40976504,NA,0.821236001659063
"3301301504","OASIS","GUSTAFSON  29-32-161-92H","29","161","92","Middle Bakken","FOOTHILLS",2015-05-01,9105,4816,NA,NA,8720.68,10417,48.748788333,-102.638914736,48.721206447,-102.639573331,NA,0.528940142778693
"3301301509","CORNERSTONE NATURAL","LINDA HINDS  8-7H","7","161","90","Middle Bakken","NORTHEAST FOOTHILLS",2015-05-01,5547,6711,NA,NA,7549.13,6708,48.778992431,-102.393667302,48.791740876,-102.411866497,NA,1.20984315846403
"3301301510","CORNERSTONE NATURAL","TAFELMEYER  7-34H","34","164","90","Middle Bakken","CUSTOMS",2015-06-01,NA,NA,NA,NA,6638.62,6813,48.981823921,-102.332262512,48.99827007,-102.340651623,NA,0.941142857142857
"3301301512","LIME ROCK III-A","PICK AXE  19-4H","19","160","90","Middle Bakken","DIMOND",2015-05-01,6516,8170,NA,NA,8249.42,6390,48.675922049,-102.362292089,48.663713514,-102.345273105,NA,1.25383670963781
"3301301513","LIME ROCK III-A","MOOSE DROOL  9-16H","9","160","91","Middle Bakken","DIMOND",2015-05-01,5008,5570,NA,NA,8378.46,6973,48.691381958,-102.430056413,48.704244055,-102.4490198,NA,1.11222044728435
"3301301514","RIM","GUNNISON  11-31H","31","161","90","Middle Bakken","SOUTH COTEAU",2015-05-01,5010,5277,NA,NA,7942.18,5630,48.734234075,-102.412451007,48.72109466,-102.408284365,NA,1.05329341317365
"3301301515","RIM","GUNNISON  44-25H","25","161","91","Middle Bakken","LITTLE BUTTE",2015-05-01,5634,8103,NA,NA,7909.39,5062,48.73552134,-102.419548101,48.748527755,-102.420694802,NA,1.43823216187433
"3301301516","LIME ROCK III-A","SUNSHINE  31-16H","31","160","90","Middle Bakken","DIMOND",2015-05-01,5576,3529,NA,NA,8375.47,6602,48.634195976,-102.344217965,48.646388457,-102.362319245,NA,0.632890961262554
"3301301517","CORNERSTONE NATURAL","POMEROL STATE  7-36H","36","159","90","Middle Bakken","CLEAR WATER",2015-05-01,7323,4681,NA,NA,8390.42,5477,48.547114938,-102.238514863,48.560008217,-102.246796422,NA,0.639218899358187
"3301301518","EOG","CLAYTON  01-35H","35","161","91","Middle Bakken","LITTLE BUTTE",2015-05-01,5795,7936,NA,NA,8313.13,5717,48.721842457,-102.442605153,48.733836489,-102.456016289,NA,1.36945642795513
"3301301519","PETRO-HUNT","WOLD  159-94-5C-32-2H","5","159","94","Middle Bakken","NORTH TIOGA",2015-05-01,12021,14734,NA,NA,9135.99,10274,48.61978973,-102.86214384,48.646972528,-102.862011206,NA,1.22568837867066
"3301301520","PETRO-HUNT","THORSON   159-94-18C-7-2H","18","159","94","Middle Bakken","NORTH TIOGA",2015-05-01,21258,35814,NA,NA,9030.37,10260,48.590948643,-102.882890857,48.618190729,-102.882848538,NA,1.68473045441716
"3301301526","EOG","KANDIYOHI  21-3427H","34","159","90","Middle Bakken","CLEAR WATER",2015-05-01,19828,16499,NA,NA,8466.71,9825,48.548467186,-102.292611866,48.574605466,-102.29184126,NA,0.832106112568086
"3301301527","CORNERSTONE NATURAL","ORMISTON   3-26H","26","162","90","Middle Bakken","PICKETT",2015-05-01,4630,5252,NA,NA,7254.23,5342,48.835616539,-102.319392123,48.822570815,-102.313885578,NA,1.13434125269978
"3301301529","CORNERSTONE NATURAL","SW PARADOX  11-16H","16","162","91","Middle Bakken","LIGNITE",2015-05-01,2783,2348,NA,NA,7476.2,5110,48.864627201,-102.497076937,48.851492283,-102.49679514,NA,0.843693855551563
"3301301530","PETRO-HUNT","PRODUCER`S CORPORATION  159-94-17C-8-2H","17","159","94","Middle Bakken","NORTH TIOGA",2015-05-01,7715,9264,NA,NA,9097.56,10436,48.590542732,-102.857520582,48.618107143,-102.856445672,NA,1.20077770576798
"3301301534","WINDRIDGE","MATTER STATE  3-17H","17","162","90","Middle Bakken","WOBURN",2015-05-01,693,1094,1320017.31158742,1043101.8555232,7190,6510,48.86480562,-102.383848195,48.851523151,-102.380003703,160.230699773149,1.57864357864358
"3301301536","LIME ROCK III-A","KANNEGIETER  160-90-17 P-1H","17","160","90","Middle Bakken","DIMOND",2015-05-01,12551,10586,NA,NA,7984.82,6020,48.67767808,-102.322118982,48.688717746,-102.338882242,NA,0.843438769819138
"3301301537","EOG","VANVILLE   15-1102H","11","159","91","Middle Bakken","THOMPSON LAKE",2015-05-01,13893,20342,NA,NA,8544.54,10356,48.605009833,-102.401219776,48.632625308,-102.401963201,NA,1.46419059958252
"3301301538","RIM","GUNNISON  41-23H","23","161","91","Middle Bakken","CLAYTON",2015-05-01,5168,3924,NA,NA,7917.11,5211,48.763528279,-102.442990385,48.750054305,-102.442214718,NA,0.759287925696594
"3301301539","EOG","KANDIYOHI  19-2932H","29","159","90","Middle Bakken","CLEAR WATER",2015-05-01,17145,17206,NA,NA,8726.19,10263,48.574292749,-102.336213697,48.546993519,-102.336306329,NA,1.00355788859726
"3301301541","LIME ROCK III-A","SORLIE  160-90-18-P-1H","18","160","90","Middle Bakken","DIMOND",2015-05-01,6732,6062,NA,NA,8128.35,6832,48.677399104,-102.34441292,48.689952753,-102.361745426,NA,0.900475341651812
"3301301543","LIME ROCK III-A","SWENSON  160-91-15-D-1H","15","160","91","Middle Bakken","DIMOND",2015-05-01,12315,10172,NA,NA,8374.22,7127,48.690604651,-102.427733072,48.678048153,-102.409690024,NA,0.825984571660576
"3301301544","RIM","FORTIFICATION  31-25H","25","162","91","Middle Bakken","RENNIE LAKE",2015-05-01,3829,3003,NA,NA,7407.71,5095,48.835644641,-102.421508984,48.822475784,-102.419877826,NA,0.784277879341865
"3301301545","PETRO-HUNT","FREDRICKSON  160-94-28B-33-2H","28","160","94","Middle Bakken","NORTH TIOGA",2015-05-01,10433,19472,NA,NA,9288.53,10269,48.661108159,-102.83916275,48.633946476,-102.840258544,NA,1.8663855075242
"3301301547","LIME ROCK III-A","SWENSON  160-91-11-P-1H","11","160","91","Middle Bakken","DIMOND",2015-05-01,9588,4656,NA,NA,8169.46,6522,48.692387863,-102.387222424,48.70424394,-102.40562519,NA,0.485607008760951
